"stud_id","w4priv","w4urban3","w4nright","w4cfree","w4math","w1s502","w4s1081","w4s1082","w4s1083","w4s1084","w4s1085","w4s1086","w4s1134","w4s1135","w4s1136","w4s1144","w4s1145","w4s1146","w4s1151","w4s1152","w4s1153","w4s1154","w4s1155","w4s1156","w4s120","w4s121","w4s122","w4s123","w4s124","w4s125","w4s126","w4s127","w4s1281","w4s1282","w4s1283","w4s1284","w4s1285","w4s1286","w4s1291","w4s1292","w4s1293","w4s1294","w4s1295","w4s1301","w4s1302","w4s1303","w4s1304","w4s1305","w4s1306","w4s409","w4s410","w4s416","w4s417","w4s418","w4pgrm_1","w4pgrm_2","w4pgrm_3","w4pgrm_4","自己的決定","父母","朋友","輔導老師","兄弟姐妹","導師或科任老師","不合理值","工作具挑戰性","有自己的時間","工作穩定、有保障","高收入","能照顧家庭","對社會有貢獻","複選2&(3或5)&(1或4或6)","複選(3或5)&(1或4或6)","複選2&(1或4或6)","w4td01","w4td02","w4td03","w4td04","w4td05","w4td06","w4td07","w4p103","w4faedu","w4fahlth","w4moedu","w4mohlth","male","female","male2","female2","male3","female3","cp09v08_u","cp09v08_ud","cp19v78","cp19v78_k","cp19v66"
18828,1,1,25,9,17,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4,4,NA,4,NA,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,4,4,4,1,NA,1,4,3,2,3,3,2,3,3,1,0,96,96,96,NA,96
19024,0,1,38,16,22,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,5,NA,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,5,4,4,2,0,1,3,4,4,4,4,1,6,6,1,1,1,5,99,NA,8
19073,0,1,31,10,18,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,2,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,4,4,NA,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,2,2,2,4,0,1,4,3,2,4,2,1,3,4,1,0,6,8,99,NA,17
19273,0,1,44,14,25,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,4,4,NA,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,3,3,3,2,0,1,5,3,2,3,1,1,5,1,1,1,9,8,99,NA,8
19274,0,1,25,14,15,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,2,1,1,1,2,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,3,3,NA,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,5,4,4,5,2,1,1,3,3,3,4,1,3,NA,5,1,1,3,3,99,NA,7
19334,0,1,32,9,22,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,1,1,1,2,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,4,4,NA,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,3,2,4,4,2,NA,1,2,3,2,4,3,3,5,5,0,1,6,3,96,NA,96
19404,0,1,38,10,21,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,2,1,1,2,2,2,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,5,5,NA,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4,4,4,5,2,1,1,5,3,5,4,3,3,5,5,0,0,96,96,99,NA,9
19549,1,1,10,6,5,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,2,2,2,1,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,NA,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,3,2,2,0,1,1,3,1,3,1,1,2,2,1,1,1,6,99,NA,8
19590,0,1,45,16,27,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,3,1,1,1,2,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA,NA,NA,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4,4,5,5,3,1,1,5,4,5,4,3,4,4,5,0,0,8,97,96,NA,96
19613,0,2,40,17,26,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,4,NA,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,3,2,3,1,0,1,1,4,2,4,3,3,4,5,1,1,1,3,99,NA,8
19703,1,1,24,8,11,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,1,1,2,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,5,5,NA,5,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,3,4,3,2,1,1,1,2,2,2,1,3,1,1,1,0,6,8,96,NA,96
